item,scale,content
mslq1,Intrinsic_Goal_Orientation,"In a class like this, I prefer course material that really challenges me so I can learn new things"
mslq2,Control_Beliefs_about_Learning,"If I study in appropriate ways, then I will be able to learn the materials in this course"
mslq3,Test_Anxiety,When I take a test I think about how poorly I am doing compared with other students
mslq4,Task_Value,I think I will be able to use what I learn in this course in other courses
mslq5,Selfefficacy_for_Learning_and_Performance,I believe I will receive an excellent grade in this class
mslq6,Selfefficacy_for_Learning_and_Performance,I am certain I can understand the most difficult material presented in the readings for this course
mslq7,Extrinsic_Goal_Orientation,Getting a good grade in this class is the most satisfying thing for me right now
mslq8,Test_Anxiety,When I take a test I think about items on other parts of the test I cannot answer
mslq9,Control_Beliefs_about_Learning,It is my own fault if I don’t learn the material in this course
mslq10,Task_Value,It is important for me to learn the course material in this class
mslq11,Extrinsic_Goal_Orientation,"The most important thing for me right now is improving my overall grade point average, so my main concern in this class is getting a good grade"
mslq12,Selfefficacy_for_Learning_and_Performance,I am confident I can learn the basic concepts taught in this course
mslq13,Extrinsic_Goal_Orientation,"If I can, I want to get better grades in this class than most of the other students"
mslq14,Test_Anxiety,When I take tests I think of the consequences of failing
mslq15,Selfefficacy_for_Learning_and_Performance,I am confident I can understand the most complex material presented by the instructor in this course
mslq16,Intrinsic_Goal_Orientation,"In a class like this, I prefer course material that arouses by curiosity, even if it is difficult to learn"
mslq17,Task_Value,I am interested in the content area of this course
mslq18,Control_Beliefs_about_Learning,"If I try hard enough, then I will understand the course material"
mslq19,Test_Anxiety,"I have an uneasy, upset feeling when I take an exam"
mslq20,Selfefficacy_for_Learning_and_Performance,I am confident I can do an excellent job on the assignments and tests in this course
mslq21,Selfefficacy_for_Learning_and_Performance,I expect to do well in this class
mslq22,Intrinsic_Goal_Orientation,The most satisfying thing for me in this course is trying to understand the content as thoroughly as possible
mslq23,Task_Value,I think the course material in this class is useful for me to learn
mslq24,Intrinsic_Goal_Orientation,"If I have an opportunity in a class, I choose course assignments that I can learn from even if they do not guarantee a good grade"
mslq25,Control_Beliefs_about_Learning,"If I do not understand the course material, it is because I did not try hard enough"
mslq26,Task_Value,I like the subject matter of this course
mslq27,Task_Value,Understanding the subject matter of this course is very important to me
mslq28,Test_Anxiety,I feel my heart beating fast when I take an exam
mslq29,Selfefficacy_for_Learning_and_Performance,I am certain I can master the skills being taught in this class
mslq30,Extrinsic_Goal_Orientation,"I want to do well in this class because it is important to show my ability to my family, friends, employer, or others"
mslq31,Selfefficacy_for_Learning_and_Performance,"Considering the difficulty of this course, the teacher, and my skills, I think I will do well in this class"
mslq32,Organization,"When I study the readings for a course, I outline the material to help me organize my thoughts"
mslq33,Metacognitive_Selfregulation,During class time I often miss important points because I am thinking of other things
mslq34,Peer_Learning,"When studying for a course, I often try to explain the material to a classmate or a friend"
mslq35,Time_Study_Environment,I usually study in a place where I can concentrate on my course work
mslq36,Metacognitive_Selfregulation,"When reading for this course, I make up questions to help focus my reading"
mslq37,Effort_Regulation,I often feel so lazy or bored when I study for a class that I quit before I finish what I planned to do
mslq38,Critical_Thinking,I often find myself questioning things I hear or read in a course to decide if I find them convincing
mslq39,Rehearsal,"When I study for a class, I practice saying the material to myself over and over"
mslq40,Help_Seeking,"Even if I have trouble learning the material in a class, I try to do the work on my own without help from anyone"
mslq41,Metacognitive_Selfregulation,"When I become confused about something I am reading for a class, I go back and try to figure it out"
mslq42,Organization,"When I study for a course, I go through the readings and my class notes and try to find the most important ideas"
mslq43,Time_Study_Environment,I make good use of my study time for a course
mslq44,Metacognitive_Selfregulation,"If course readings are difficult to understand, I change the way I read the material"
mslq45,Peer_Learning,I try to work with other students from a class to complete the course assignments
mslq46,Rehearsal,"When studying for a course, I read my class notes and the course readings over and over again"
mslq47,Critical_Thinking,"When a theory, interpretation, or conclusion is presented in class or in the readings, I try to decide if there is good supporting evidence"
mslq48,Effort_Regulation,I work hard to do well in a class even if I do not like what we are doing
mslq49,Organization,"I make simple charts, diagrams, or tables to help me organize course material"
mslq50,Peer_Learning,"When studying for this course, I often set aside time to discuss course material with a group of students from the class"
mslq51,Critical_Thinking,I treat the course material as a starting point and try to develop my own ideas about it
mslq52,Time_Study_Environment,I find it hard to stick to a schedule
mslq53,Elaboration,"When I study for a class, I pull together information from different sources, such as lectures, readings, and discussions"
mslq54,Metacognitive_Selfregulation,"Before I study new course materials thoroughly, I often skim it to see how it is organized"
mslq55,Metacognitive_Selfregulation,I ask myself questions to make sure I understand the material I have been studying in this class
mslq56,Metacognitive_Selfregulation,I try to change the way I study in order to fit the course requirements and the instructors teaching style
mslq57,Metacognitive_Selfregulation,I often find that I have been reading for a class but do not know what it was about
mslq58,Help_Seeking,I ask the instructor to clarify concepts I do not understand well
mslq59,Rehearsal,I memorize key words to remind me of important concepts in this class
mslq60,Effort_Regulation,"When course work is difficult, I either give up or only study the easy parts"
mslq61,Metacognitive_Selfregulation,I try to think through a topic and decided what I am supposed to learn from it rather than just reading it over when studying for a course
mslq62,Elaboration,I try to relate ideas in a course to those in other courses whenever possible
mslq63,Organization,"When I study for a course, I go over my class notes and make an outline of important concepts"
mslq64,Elaboration,"When reading for a class, I try to related the material to what I already know"
mslq65,Time_Study_Environment,I have a regular place set aside for studying
mslq66,Critical_Thinking,I try to play around with ideas of my own related to what I am learning in this course
mslq67,Elaboration,"When I study for a course, I write brief summaries of the main ideas from the readings and my class notes"
mslq68,Help_Seeking,"When I cannot understand the material in a course, I ask another student in the class for help"
mslq69,Elaboration,I try to understand the material in a class by making connections between readings and the concepts from the lectures
mslq70,Time_Study_Environment,I make sure that I keep up with the weekly readings and assignments for this course
mslq71,Critical_Thinking,"Whenever I read or hear an assertion or conclusion in a class, I think about possible alternatives"
mslq72,Rehearsal,I make lists of important items for a course and memorize the lists
mslq73,Time_Study_Environment,I attend class regularly
mslq74,Effort_Regulation,"Even when course materials are dull and uninteresting, I manage to keep working until I finish"
mslq75,Help_Seeking,I try to identify students in a class whom I can ask for help if necessary
mslq76,Metacognitive_Selfregulation,When studying for a course I try to determine which concepts I do not understand well
mslq77,Time_Study_Environment,I often find that I do not spend much time on a course because of other activities
mslq78,Metacognitive_Selfregulation,"When I study for a class, I set goals for myself in order to direct my activities in each study period"
mslq79,Metacognitive_Selfregulation,"If I get confused taking notes in class, I make sure I sort it out afterwards"
mslq80,Time_Study_Environment,I rarely find time to review my notes or readings for an exam
mslq81,Elaboration,I try to apply ideas from course readings in other class activities such as lecture and discussion
